"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2024"

"Vuosi";"Alue";"Ikä";"Varhaiskasvatukseen osallistuneet lapset";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2024";"Porvoo";"Yhteensä";2427;248
"2024";"Posio";"Yhteensä";21;0
"2024";"Pudasjärvi";"Yhteensä";206;5
"2024";"Pukkila";"Yhteensä";47;1
"2024";"Punkalaidun";"Yhteensä";51;0
"2024";"Puolanka";"Yhteensä";45;5
"2024";"Puumala";"Yhteensä";39;1
"2024";"Pyhtää";"Yhteensä";65;3
"2024";"Pyhäjoki";"Yhteensä";92;2
"2024";"Pyhäjärvi";"Yhteensä";146;9
"2024";"Pyhäntä";"Yhteensä";88;6
"2024";"Pyhäranta";"Yhteensä";83;1
"2024";"Pälkäne";"Yhteensä";171;5
"2024";"Pöytyä";"Yhteensä";305;18
"2024";"Raahe";"Yhteensä";890;54
"2024";"Raasepori";"Yhteensä";1173;71
"2024";"Raisio";"Yhteensä";1224;206
"2024";"Rantasalmi";"Yhteensä";71;5
"2024";"Ranua";"Yhteensä";128;2
"2024";"Rauma";"Yhteensä";1424;170
"2024";"Rautalampi";"Yhteensä";75;6
"2024";"Rautavaara";"Yhteensä";19;0
"2024";"Rautjärvi";"Yhteensä";63;17
"2024";"Reisjärvi";"Yhteensä";88;0
"2024";"Riihimäki";"Yhteensä";1024;107
"2024";"Ristijärvi";"Yhteensä";33;2
"2024";"Rovaniemi";"Yhteensä";3257;197
"2024";"Ruokolahti";"Yhteensä";112;3
"2024";"Ruovesi";"Yhteensä";109;10
"2024";"Rusko";"Yhteensä";436;15
"2024";"Rääkkylä";"Yhteensä";17;2
"2024";"Saarijärvi";"Yhteensä";258;10
"2024";"Salla";"Yhteensä";28;0
"2024";"Salo";"Yhteensä";1786;248
"2024";"Sastamala";"Yhteensä";740;28
"2024";"Sauvo";"Yhteensä";107;8
"2024";"Savitaipale";"Yhteensä";84;4
"2024";"Savonlinna";"Yhteensä";838;60
"2024";"Savukoski";"Yhteensä";30;1
"2024";"Seinäjoki";"Yhteensä";3241;233
"2024";"Sievi";"Yhteensä";200;0
"2024";"Siikainen";"Yhteensä";21;0
"2024";"Siikajoki";"Yhteensä";166;4
"2024";"Siikalatva";"Yhteensä";111;2
"2024";"Siilinjärvi";"Yhteensä";1140;16
"2024";"Simo";"Yhteensä";66;1
"2024";"Sipoo";"Yhteensä";976;64
"2024";"Siuntio";"Yhteensä";237;20
"2024";"Sodankylä";"Yhteensä";238;4
"2024";"Soini";"Yhteensä";54;1
"2024";"Somero";"Yhteensä";272;30
"2024";"Sonkajärvi";"Yhteensä";105;0
"2024";"Sotkamo";"Yhteensä";161;17
"2024";"Sulkava";"Yhteensä";63;1
"2024";"Suomussalmi";"Yhteensä";157;17
"2024";"Suonenjoki";"Yhteensä";176;2
"2024";"Sysmä";"Yhteensä";35;0
"2024";"Säkylä";"Yhteensä";78;10
"2024";"Taipalsaari";"Yhteensä";176;10
"2024";"Taivalkoski";"Yhteensä";107;1
"2024";"Taivassalo";"Yhteensä";62;5
"2024";"Tammela";"Yhteensä";223;5
"2024";"Tampere";"Yhteensä";10198;1580
"2024";"Tervo";"Yhteensä";20;1
"2024";"Tervola";"Yhteensä";115;4
"2024";"Teuva";"Yhteensä";148;3
"2024";"Tohmajärvi";"Yhteensä";101;1
"2024";"Toholampi";"Yhteensä";90;3
"2024";"Toivakka";"Yhteensä";3;0
"2024";"Tornio";"Yhteensä";900;39
"2024";"Turku";"Yhteensä";7922;1893
"2024";"Tuusniemi";"Yhteensä";47;2
"2024";"Tuusula";"Yhteensä";1957;203
"2024";"Tyrnävä";"Yhteensä";430;2
"2024";"Ulvila";"Yhteensä";477;15
"2024";"Urjala";"Yhteensä";130;4
"2024";"Utajärvi";"Yhteensä";88;10
"2024";"Utsjoki";"Yhteensä";29;0
"2024";"Uurainen";"Yhteensä";175;1
"2024";"Uusikaarlepyy";"Yhteensä";335;39
"2024";"Uusikaupunki";"Yhteensä";458;95
"2024";"Vaala";"Yhteensä";72;6
"2024";"Vaasa";"Yhteensä";2975;574
"2024";"Valkeakoski";"Yhteensä";820;59
"2024";"Vantaa";"Yhteensä";12602;4361
"2024";"Varkaus";"Yhteensä";639;60
"2024";"Vehmaa";"Yhteensä";69;4
"2024";"Vesanto";"Yhteensä";28;0
"2024";"Vesilahti";"Yhteensä";238;3
"2024";"Veteli";"Yhteensä";80;7
